districtid,weekid,dose1,dose2
AP_East Godavari,1,0,0
AP_East Godavari,2,0,0
AP_East Godavari,3,0,0
AP_East Godavari,4,0,0
AP_East Godavari,5,0,0
AP_East Godavari,6,0,0
AP_East Godavari,7,0,0
AP_East Godavari,8,0,0
AP_East Godavari,9,0,0
AP_East Godavari,10,0,0
AP_East Godavari,11,0,0
AP_East Godavari,12,0,0
AP_East Godavari,13,0,0
AP_East Godavari,14,0,0
AP_East Godavari,15,0,0
AP_East Godavari,16,0,0
AP_East Godavari,17,0,0
AP_East Godavari,18,0,0
AP_East Godavari,19,0,0
AP_East Godavari,20,0,0
AP_East Godavari,21,0,0
AP_East Godavari,22,0,0
AP_East Godavari,23,0,0
AP_East Godavari,24,0,0
AP_East Godavari,25,0,0
AP_East Godavari,26,0,0
AP_East Godavari,27,0,0
AP_East Godavari,28,0,0
AP_East Godavari,29,0,0
AP_East Godavari,30,0,0
AP_East Godavari,31,0,0
AP_East Godavari,32,0,0
AP_East Godavari,33,0,0
AP_East Godavari,34,0,0
AP_East Godavari,35,0,0
AP_East Godavari,36,0,0
AP_East Godavari,37,0,0
AP_East Godavari,38,0,0
AP_East Godavari,39,0,0
AP_East Godavari,40,0,0
AP_East Godavari,41,0,0
AP_East Godavari,42,0,0
AP_East Godavari,43,0,0
AP_East Godavari,44,0,0
AP_East Godavari,45,11148,0
AP_East Godavari,46,9677,0
AP_East Godavari,47,13061,0
AP_East Godavari,48,5468,301
AP_East Godavari,49,6711,4189
AP_East Godavari,50,9612,7603
AP_East Godavari,51,14003,7046
AP_East Godavari,52,27104,6763
AP_East Godavari,53,53331,6364
AP_East Godavari,54,61245,7423
AP_East Godavari,55,38013,2478
AP_East Godavari,56,62966,14795
AP_East Godavari,57,72392,10523
AP_East Godavari,58,44552,61242
AP_East Godavari,59,52050,37828
AP_East Godavari,60,11738,30496
AP_East Godavari,61,5321,8374
AP_East Godavari,62,2944,26204
AP_East Godavari,63,196451,17126
AP_East Godavari,64,81984,4767
AP_East Godavari,65,123698,1250
AP_East Godavari,66,60655,572
AP_East Godavari,67,191003,17470
AP_East Godavari,68,152745,22813
AP_East Godavari,69,39974,39850
AP_East Godavari,70,101683,57558
AP_East Godavari,71,54724,51655
AP_East Godavari,72,182868,56708
AP_East Godavari,73,188187,37474
AP_East Godavari,74,51170,13601
AP_Guntur,1,0,0
AP_Guntur,2,0,0
AP_Guntur,3,0,0
AP_Guntur,4,0,0
AP_Guntur,5,0,0
AP_Guntur,6,0,0
AP_Guntur,7,0,0
AP_Guntur,8,0,0
AP_Guntur,9,0,0
AP_Guntur,10,0,0
AP_Guntur,11,0,0
AP_Guntur,12,0,0
AP_Guntur,13,0,0
AP_Guntur,14,0,0
AP_Guntur,15,0,0
AP_Guntur,16,0,0
AP_Guntur,17,0,0
AP_Guntur,18,0,0
AP_Guntur,19,0,0
AP_Guntur,20,0,0
AP_Guntur,21,0,0
AP_Guntur,22,0,0
AP_Guntur,23,0,0
AP_Guntur,24,0,0
AP_Guntur,25,0,0
AP_Guntur,26,0,0
AP_Guntur,27,0,0
AP_Guntur,28,0,0
AP_Guntur,29,0,0
AP_Guntur,30,0,0
AP_Guntur,31,0,0
AP_Guntur,32,0,0
AP_Guntur,33,0,0
AP_Guntur,34,0,0
AP_Guntur,35,0,0
AP_Guntur,36,0,0
AP_Guntur,37,0,0
AP_Guntur,38,0,0
AP_Guntur,39,0,0
AP_Guntur,40,0,0
AP_Guntur,41,0,0
AP_Guntur,42,0,0
AP_Guntur,43,0,0
AP_Guntur,44,0,0
AP_Guntur,45,3174,0
AP_Guntur,46,5396,0
AP_Guntur,47,6811,0
AP_Guntur,48,6595,1086
AP_Guntur,49,13785,5895
AP_Guntur,50,13238,3060
AP_Guntur,51,12115,3825
AP_Guntur,52,14562,5088
AP_Guntur,53,33485,7243
AP_Guntur,54,51973,7934
AP_Guntur,55,47332,5396
AP_Guntur,56,63977,9129
AP_Guntur,57,68230,6355
AP_Guntur,58,61606,42091
AP_Guntur,59,60285,21237
AP_Guntur,60,29194,32102
AP_Guntur,61,7299,22036
AP_Guntur,62,9247,15162
AP_Guntur,63,152440,22906
AP_Guntur,64,81969,9366
AP_Guntur,65,88154,7647
AP_Guntur,66,58124,8600
AP_Guntur,67,182062,28971
AP_Guntur,68,124702,28917
AP_Guntur,69,40069,12451
AP_Guntur,70,125905,60879
AP_Guntur,71,38329,56945
AP_Guntur,72,126988,64637
AP_Guntur,73,141089,60748
AP_Guntur,74,90097,42735
AP_Krishna,1,0,0
AP_Krishna,2,0,0
AP_Krishna,3,0,0
AP_Krishna,4,0,0
AP_Krishna,5,0,0
AP_Krishna,6,0,0
AP_Krishna,7,0,0
AP_Krishna,8,0,0
AP_Krishna,9,0,0
AP_Krishna,10,0,0
AP_Krishna,11,0,0
AP_Krishna,12,0,0
AP_Krishna,13,0,0
AP_Krishna,14,0,0
AP_Krishna,15,0,0
AP_Krishna,16,0,0
AP_Krishna,17,0,0
AP_Krishna,18,0,0
AP_Krishna,19,0,0
AP_Krishna,20,0,0
AP_Krishna,21,0,0
AP_Krishna,22,0,0
AP_Krishna,23,0,0
AP_Krishna,24,0,0
AP_Krishna,25,0,0
AP_Krishna,26,0,0
AP_Krishna,27,0,0
AP_Krishna,28,0,0
AP_Krishna,29,0,0
AP_Krishna,30,0,0
AP_Krishna,31,0,0
AP_Krishna,32,0,0
AP_Krishna,33,0,0
AP_Krishna,34,0,0
AP_Krishna,35,0,0
AP_Krishna,36,0,0
AP_Krishna,37,0,0
AP_Krishna,38,0,0
AP_Krishna,39,0,0
AP_Krishna,40,0,0
AP_Krishna,41,0,0
AP_Krishna,42,0,0
AP_Krishna,43,0,0
AP_Krishna,44,0,0
AP_Krishna,45,4393,0
AP_Krishna,46,5503,0
AP_Krishna,47,7259,0
AP_Krishna,48,7360,525
AP_Krishna,49,5112,6561
AP_Krishna,50,10344,4324
AP_Krishna,51,10622,3201
AP_Krishna,52,21069,6327
AP_Krishna,53,42785,4674
AP_Krishna,54,51408,6327
AP_Krishna,55,48922,4496
AP_Krishna,56,65440,6132
AP_Krishna,57,83044,4742
AP_Krishna,58,50683,49445
AP_Krishna,59,58323,35153
AP_Krishna,60,20323,42632
AP_Krishna,61,5469,37842
AP_Krishna,62,7482,20487
AP_Krishna,63,168626,11410
AP_Krishna,64,86588,5265
AP_Krishna,65,128215,5890
AP_Krishna,66,56532,3695
AP_Krishna,67,204267,27920
