districtid,vaccinationratio,populationratio,ratioofratios
AR_Lohit,0.7792581922938423,0.911887799950145,0.8545549050403417
OR_Khordha,0.7946373886763658,0.9292276742147666,0.8551589785010064
MP_Alirajpur,0.8645183129104326,1.0107987488346177,0.8552823338049869
UP_Chandauli,0.7858809320190244,0.9184069240253265,0.8557001384250806
NL_Mon,0.7702532321829255,0.8994633898279356,0.8563475077404455
GJ_Dang,0.8622823244243158,1.0057019354952075,0.8573935218686123
GA_North Goa,0.8264808232589818,0.9631705133712684,0.8580836017977249
AS_Karbi Anglong,0.81625009702709,0.9509942529790867,0.8583123341388269
BR_Rohtas,0.78761821497949,0.917609193376809,0.8583373190508792
MN_Imphal West,0.8850757263090804,1.0309111011785739,0.8585373901757685
MH_Ahmednagar,0.8071381869928079,0.9391798363087298,0.8594074912906065
MH_Solapur,0.807585038655759,0.938080267450441,0.8608911909538955
UP_Barabanki,0.7839522460996341,0.9101110497324953,0.8613808681150037
GJ_Rajkot,0.7985840420715752,0.9268999642937635,0.8615644328781946
PB_Sri Muktsar Sahib,0.7727929355297187,0.8962453376841273,0.8622560174500812
UP_Shrawasti,0.7600695365214061,0.8814053615357546,0.8623382267576252
AR_East Kameng,0.8881317433276548,1.0294003868471953,0.8627660866223178
JH_Pakur,0.8542377222664096,0.9891751222217068,0.8635859344579703
JH_Lohardaga,0.8509577037577937,0.9850921424242034,0.8638356424848547
UP_Mathura,0.7457119498624847,0.8631683276949803,0.8639241338405532
MP_Satna,0.7997317955186138,0.9256541064972202,0.863963968727897
OR_Dhenkanal,0.8189578132092601,0.9471508815804294,0.8646540156756604
JH_Ranchi,0.8209832862417213,0.9494152596397039,0.8647251852190352
MP_Rewa,0.804705878228433,0.9305411803118113,0.864771914724706
MP_Panna,0.7830096745165852,0.905451000974732,0.8647731060804651
UP_Agra,0.7517334747935921,0.868450239814491,0.8656033936431053
MN_Imphal East,0.8808334379314673,1.0173600360911834,0.8658030654671012
MH_Nashik,0.8102664039598912,0.9343766886081466,0.8671731795523165
BR_Kishanganj,0.8239709031898935,0.9497791157710186,0.867539504194093
TG_Hyderabad,0.8279552930562847,0.9535181997200995,0.8683161929151711
UP_Gonda,0.8013228840726547,0.921454094964821,0.8696286537239247
UP_Ghaziabad,0.7668229396094225,0.8810595644386086,0.8703417686612651
OR_Cuttack,0.8185339342126934,0.9400854549217895,0.8707016260354665
UP_Bareilly,0.7721313382184911,0.8867646591012718,0.8707285865463329
MP_Shahdol,0.8488559692609817,0.9741139696419213,0.8714134030672164
BR_Buxar,0.8032799609686863,0.9216173391878393,0.8715981425399006
UP_Etah,0.7620859257693645,0.8731203930166498,0.8728302899172258
UP_Sitapur,0.7752454697852639,0.8877867891737508,0.8732338431243978
GJ_Banaskantha,0.8190593934650289,0.9377463317641375,0.873433854893542
UP_Rae Bareli,0.824855267263141,0.9432110614182142,0.8745182292740362
HR_Panipat,0.7551777652895268,0.86352934265224,0.8745247300689023
TN_Krishnagiri,0.8386894955266835,0.9576612735255646,0.8757684149000882
JH_Khunti,0.8738084430322288,0.9970525841515385,0.8763915333270144
AS_Kokrajhar,0.8409530321607093,0.9587816429494044,0.8771058961598068
WB_Kolkata,0.797026494579649,0.9079934113102446,0.8777888524868599
MP_Raisen,0.7912562178326001,0.9013090448028008,0.8778966797184651
BR_Bhojpur,0.7970549021229096,0.9074700429256561,0.8783264068455953
PB_Ferozepur,0.7848094319803083,0.893434063960091,0.8784189719627313
NL_Longleng,0.7949715238227532,0.9049128367670365,0.8785061848198901
AR_Lower Dibang Valley,0.815319639086197,0.9277795601183474,0.87878594672014
AS_Dhubri,0.8380247590333927,0.9534618499009869,0.8789284638084032
