stateid,weekid,dose1,dose2
HR,67,951790,151909
HR,68,672968,256587
HR,69,299067,188721
HR,70,409281,251858
HR,71,281337,192072
HR,72,523463,318346
HR,73,633504,336860
HR,74,539785,349022
JH,1,0,0
JH,2,0,0
JH,3,0,0
JH,4,0,0
JH,5,0,0
JH,6,0,0
JH,7,0,0
JH,8,0,0
JH,9,0,0
JH,10,0,0
JH,11,0,0
JH,12,0,0
JH,13,0,0
JH,14,0,0
JH,15,0,0
JH,16,0,0
JH,17,0,0
JH,18,0,0
JH,19,0,0
JH,20,0,0
JH,21,0,0
JH,22,0,0
JH,23,0,0
JH,24,0,0
JH,25,0,0
JH,26,0,0
JH,27,0,0
JH,28,0,0
JH,29,0,0
JH,30,0,0
JH,31,0,0
JH,32,0,0
JH,33,0,0
JH,34,0,0
JH,35,0,0
JH,36,0,0
JH,37,0,0
JH,38,0,0
JH,39,0,0
JH,40,0,0
JH,41,0,0
JH,42,0,0
JH,43,0,0
JH,44,326,0
JH,45,3620,0
JH,46,25946,0
JH,47,53414,0
JH,48,106371,1906
JH,49,62509,9222
JH,50,29696,11489
JH,51,58080,35603
JH,52,99308,76634
JH,53,243479,66661
JH,54,624882,33110
JH,55,145431,14994
JH,56,453537,30996
JH,57,411287,48709
JH,58,150172,72590
JH,59,92588,72261
JH,60,62769,78407
JH,61,155611,90243
JH,62,312272,11885
JH,63,216645,22766
JH,64,299606,37729
JH,65,465843,44856
JH,66,536342,105671
JH,67,756955,114507
JH,68,400766,96600
JH,69,405923,165906
JH,70,410646,196571
JH,71,314976,120545
JH,72,638458,198014
JH,73,462695,141820
JH,74,520945,167562
JK,1,0,0
JK,2,0,0
JK,3,0,0
JK,4,0,0
JK,5,0,0
JK,6,0,0
JK,7,0,0
JK,8,0,0
JK,9,0,0
JK,10,0,0
JK,11,0,0
JK,12,0,0
JK,13,0,0
JK,14,0,0
JK,15,0,0
JK,16,0,0
JK,17,0,0
JK,18,0,0
JK,19,0,0
JK,20,0,0
JK,21,0,0
JK,22,0,0
JK,23,0,0
JK,24,0,0
JK,25,0,0
JK,26,0,0
JK,27,0,0
JK,28,0,0
JK,29,0,0
JK,30,0,0
JK,31,0,0
JK,32,0,0
JK,33,0,0
JK,34,0,0
JK,35,0,0
JK,36,0,0
JK,37,0,0
JK,38,0,0
JK,39,0,0
JK,40,0,0
JK,41,0,0
JK,42,0,0
JK,43,0,0
JK,44,447,0
JK,45,5221,0
JK,46,15593,0
JK,47,19648,0
JK,48,76768,722
JK,49,68420,5536
JK,50,36289,9429
JK,51,66458,9418
JK,52,73822,31109
JK,53,107215,54887
JK,54,113114,34887
JK,55,154072,15302
JK,56,358537,29528
JK,57,263001,39565
JK,58,332605,75128
JK,59,304779,74739
JK,60,240266,100981
JK,61,77082,51755
JK,62,104847,4427
JK,63,281672,5436
JK,64,196504,22221
JK,65,172502,17637
JK,66,282829,19319
JK,67,291914,37027
JK,68,369468,107633
JK,69,280445,74628
JK,70,219413,148004
JK,71,174117,164160
JK,72,219244,175570
JK,73,328255,146468
JK,74,311680,117916
KA,1,0,0
KA,2,0,0
KA,3,0,0
KA,4,0,0
KA,5,0,0
KA,6,0,0
KA,7,0,0
KA,8,0,0
KA,9,0,0
KA,10,0,0
KA,11,0,0
KA,12,0,0
KA,13,0,0
KA,14,0,0
KA,15,0,0
KA,16,0,0
KA,17,0,0
KA,18,0,0
KA,19,0,0
KA,20,0,0
KA,21,0,0
KA,22,0,0
KA,23,0,0
KA,24,0,0
KA,25,0,0
KA,26,0,0
KA,27,0,0
KA,28,0,0
KA,29,0,0
KA,30,0,0
KA,31,0,0
KA,32,0,0
KA,33,0,0
KA,34,0,0
KA,35,0,0
KA,36,0,0
KA,37,0,0
KA,38,0,0
KA,39,0,0
KA,40,0,0
KA,41,0,0
KA,42,0,0
KA,43,0,0
KA,44,3912,0
KA,45,105865,0
KA,46,186574,0
KA,47,78627,0
KA,48,125953,15
KA,49,112992,127425
KA,50,57611,121510
KA,51,76331,25778
KA,52,398493,96311
KA,53,1114568,81640
KA,54,940314,48366
KA,55,1413483,54016
KA,56,1726036,104781
KA,57,1098215,219153
KA,58,1127314,497095
KA,59,832258,541525
KA,60,455654,490549
KA,61,401740,547069
KA,62,638530,131275
KA,63,1648238,124584
KA,64,2113476,173309
KA,65,2158492,173944
KA,66,1633082,251595
KA,67,3342458,398328
KA,68,1836992,651825
KA,69,1482177,803132
KA,70,1303055,734018
KA,71,1095426,756893
KA,72,1147943,744258
KA,73,1889451,891226
KA,74,1393579,654488
KL,1,0,0
KL,2,0,0
KL,3,0,0
KL,4,0,0
KL,5,0,0
KL,6,0,0
KL,7,0,0
KL,8,0,0
KL,9,0,0
KL,10,0,0
KL,11,0,0
KL,12,0,0
KL,13,0,0
KL,14,0,0
KL,15,0,0
KL,16,0,0
KL,17,0,0
KL,18,0,0
KL,19,0,0
KL,20,0,0
KL,21,0,0
KL,22,0,0
KL,23,0,0
KL,24,0,0
KL,25,0,0
KL,26,0,0
KL,27,0,0
KL,28,0,0
KL,29,0,0
KL,30,0,0
KL,31,0,0
KL,32,0,0
KL,33,0,0
KL,34,0,0
KL,35,0,0
KL,36,0,0
KL,37,0,0
KL,38,0,0
KL,39,0,0
KL,40,0,0
KL,41,0,0
KL,42,0,0
KL,43,0,0
KL,44,1681,0
KL,45,20263,0
KL,46,112281,0
KL,47,137506,0
KL,48,66436,0
KL,49,68561,38833
KL,50,82385,65387
KL,51,266903,82935
KL,52,286070,92459
KL,53,390816,70974
KL,54,467076,38955
KL,55,1516422,32545
KL,56,854454,70808
KL,57,887737,181061
KL,58,630273,365230
KL,59,281370,316503
KL,60,117046,409013
KL,61,239070,226940
KL,62,197415,28874
KL,63,546842,24247
KL,64,887365,112227
KL,65,885763,80716
KL,66,733169,188591
KL,67,829185,550951
KL,68,656728,624472
KL,69,381780,520910
KL,70,445090,538167
KL,71,887317,926404
KL,72,1234251,466643
KL,73,1305579,311750
KL,74,1864857,292218
LA,1,0,0
LA,2,0,0
LA,3,0,0
LA,4,0,0
LA,5,0,0
LA,6,0,0
LA,7,0,0
LA,8,0,0
LA,9,0,0
LA,10,0,0
LA,11,0,0
LA,12,0,0
LA,13,0,0
LA,14,0,0
LA,15,0,0
LA,16,0,0
LA,17,0,0
LA,18,0,0
LA,19,0,0
LA,20,0,0
